phase;dataset;model;seed;timestamp;accuracy;f1_macro;precision_macro;recall_macro;elapsed_sec;file;model_cfg_json;dataset_files_json
phase3_rebaseline;amazon;svm;103;20251106_022815;0.91973;0.9197299757183177;0.9197330282388498;0.9197349581847646;32.342009800020605;results\rebaseline\svm_amazon_s103_20251106_022815.json;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/amazon_train.csv"", ""test"": ""data/local/amazon_test.csv""}"
phase3_rebaseline;enron;logreg;101;20251106_022818;0.99;0.9817058297422554;0.9898313492063493;0.974;1.7825655000051484;results\rebaseline\logreg_enron_s101_20251106_022818.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;logreg;102;20251106_022820;0.9866666666666667;0.975405300157816;0.987763855016399;0.964;1.8147242999402806;results\rebaseline\logreg_enron_s102_20251106_022820.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;logreg;103;20251106_022822;0.9833333333333333;0.96925662519727;0.9814565637877386;0.958;1.8961198000470176;results\rebaseline\logreg_enron_s103_20251106_022822.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;nb;101;20251106_023201;0.9866666666666667;0.975405300157816;0.987763855016399;0.964;1.9780361000448465;results\rebaseline\nb_enron_s101_20251106_023201.json;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;nb;102;20251106_023203;0.98;0.962480458572173;0.9836601307189543;0.944;1.836533599998802;results\rebaseline\nb_enron_s102_20251106_023203.json;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;nb;103;20251106_023205;0.9833333333333333;0.9687337154768108;0.9901960784313726;0.95;1.7734434000449255;results\rebaseline\nb_enron_s103_20251106_023205.json;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;rf;101;20251106_023548;0.9833333333333333;0.9697574547873948;0.973615741117164;0.966;3.1429360000183806;results\rebaseline\rf_enron_s101_20251106_023548.json;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;rf;102;20251106_023551;0.9766666666666667;0.956959275276178;0.968841981330418;0.946;3.3442941000685096;results\rebaseline\rf_enron_s102_20251106_023551.json;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;rf;103;20251106_023554;0.9816666666666667;0.9660408230469615;0.9803715721829867;0.9530000000000001;3.062898900010623;results\rebaseline\rf_enron_s103_20251106_023554.json;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;svm;101;20251106_022451;0.9883333333333333;0.9783896146662482;0.9930966469428009;0.9650000000000001;1.7964623000007123;results\rebaseline\svm_enron_s101_20251106_022451.json;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;svm;102;20251106_022453;0.9833333333333333;0.9687337154768108;0.9901960784313726;0.95;1.814728599973023;results\rebaseline\svm_enron_s102_20251106_022453.json;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
phase3_rebaseline;enron;svm;103;20251106_022455;0.9833333333333333;0.9687337154768108;0.9901960784313726;0.95;1.8618176999734715;results\rebaseline\svm_enron_s103_20251106_022455.json;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/enron_spam.csv""}"
