model;combo_id;n_runs;datasets;seeds;val_f1_mean;val_f1_std;val_acc_mean;val_acc_std;val_prec_mean;val_rec_mean;test_f1_mean;test_f1_std;test_acc_mean;test_acc_std;test_prec_mean;test_rec_mean;test_time_mean;test_time_sum;model_cfg_json
svm;25;4;imdb,sms;101,102;0.932514;0.026763;0.94491;0.040611;0.941533;0.924538;0.943085;0.045209;0.947944;0.050795;0.948164;0.938298;11.861286;47.445143;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
logreg;9;4;imdb,sms;101,102;0.928059;0.034306;0.93961;0.046815;0.928277;0.928035;0.937894;0.046316;0.943813;0.053002;0.936268;0.939608;12.179581;48.718326;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
nb;41;4;imdb,sms;101,102;0.926764;0.043038;0.936892;0.053691;0.932896;0.921088;0.925296;0.06088;0.931387;0.06784;0.933782;0.917864;14.003335;56.013338;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
rf;62;4;imdb,sms;101,102;0.900611;0.042042;0.919587;0.061001;0.923359;0.883276;0.913144;0.058305;0.923358;0.069892;0.925307;0.902648;42.78702;171.148078;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}"
