phase;dataset;model;n_runs;seeds;f1_mean;f1_std;acc_mean;acc_std;prec_mean;rec_mean;time_mean;time_sum
phase3_rebaseline;amazon;logreg;3;101,102,103;0.915063;0.00035;0.915063;0.00035;0.915069;0.915069;36.340698;109.022095
phase3_rebaseline;amazon;nb;3;101,102,103;0.890868;0.000373;0.89087;0.000373;0.890923;0.890886;37.33848;112.01544
phase3_rebaseline;amazon;rf;3;101,102,103;0.870896;0.000584;0.870897;0.000584;0.870935;0.870911;528.373461;1585.120384
phase3_rebaseline;amazon;svm;3;101,102,103;0.92018;0.000397;0.92018;0.000397;0.920183;0.920185;32.85607;98.56821
phase3_rebaseline;enron;logreg;3;101,102,103;0.975456;0.006225;0.986667;0.003333;0.986351;0.965333;1.831137;5.49341
phase3_rebaseline;enron;nb;3;101,102,103;0.968873;0.006464;0.983333;0.003333;0.987207;0.952667;1.862671;5.588013
phase3_rebaseline;enron;rf;3;101,102,103;0.964253;0.006584;0.980556;0.003469;0.974276;0.955;3.183376;9.550129
phase3_rebaseline;enron;svm;3;101,102,103;0.971952;0.005575;0.985;0.002887;0.991163;0.955;1.824336;5.473009
phase3_rebaseline;imdb;logreg;3;101,102,103;0.898251;0.000686;0.898253;0.000686;0.898297;0.898253;27.11403;81.342091
phase3_rebaseline;imdb;nb;3;101,102,103;0.872208;0.000739;0.872253;0.000742;0.872786;0.872253;25.451832;76.355496
phase3_rebaseline;imdb;rf;3;101,102,103;0.862956;0.00036;0.862973;0.000359;0.863159;0.862973;108.604504;325.813512
phase3_rebaseline;imdb;svm;3;101,102,103;0.904493;0.001007;0.904493;0.001007;0.904494;0.904493;25.596963;76.79089
phase3_rebaseline;sms;logreg;3;101,102,103;0.972395;0.010672;0.987145;0.00494;0.969342;0.975552;0.261318;0.783955
phase3_rebaseline;sms;nb;3;101,102,103;0.975974;0.00407;0.989238;0.001794;0.992815;0.960678;0.221853;0.66556
phase3_rebaseline;sms;rf;3;101,102,103;0.962658;0.006349;0.983558;0.00274;0.98849;0.940371;1.858827;5.57648
phase3_rebaseline;sms;svm;3;101,102,103;0.976107;0.010763;0.989238;0.004746;0.988706;0.964462;0.244495;0.733486
