phase;dataset;model;seed;train_frac;train_size_used;val_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;val_accuracy;val_f1_macro;val_precision_macro;val_recall_macro;model_cfg_json;file
phase5_learning_curve;imdb;logreg;102;0.4;9000;2500;25000;20251107_014049;0.88164;0.881623740026332;0.8818498011108836;0.88164;17.236081900075078;0.8872;0.8871650482453445;0.8876803514626763;0.8872;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac40_s102_20251107_014049.json
phase5_learning_curve;imdb;logreg;103;0.4;9000;2500;25000;20251107_015216;0.88396;0.8839510946855236;0.8840778928628454;0.88396;16.29308019997552;0.8852;0.8851845504331062;0.8854074417014213;0.8852;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac40_s103_20251107_015216.json
phase5_learning_curve;imdb;logreg;101;0.6;13500;2500;25000;20251107_013218;0.88912;0.8891118748278715;0.88923408232982;0.88912;17.980807900079526;0.8852;0.8851594107421328;0.8857453513479217;0.8852;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac60_s101_20251107_013218.json
phase5_learning_curve;imdb;logreg;102;0.6;13500;2500;25000;20251107_014225;0.89008;0.8900726804234695;0.890183922522366;0.89008;21.723802600055933;0.8928;0.8927777663976402;0.8931260744912259;0.8928;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac60_s102_20251107_014225.json
phase5_learning_curve;imdb;logreg;103;0.6;13500;2500;25000;20251107_015335;0.8902;0.8901923255855583;0.8903091141914687;0.8902;18.83272850001231;0.8908;0.8907949503585046;0.8908722957398201;0.8908;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac60_s103_20251107_015335.json
phase5_learning_curve;imdb;logreg;101;0.8;18000;2500;25000;20251107_013358;0.89456;0.8945557883051187;0.8946230487666522;0.89456;20.940507999970578;0.886;0.8859630520288574;0.8865009051731043;0.886;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac80_s101_20251107_013358.json
phase5_learning_curve;imdb;logreg;102;0.8;18000;2500;25000;20251107_014427;0.89388;0.8938763308378129;0.8939344801931679;0.89388;25.107460799976252;0.9024;0.9023840065956406;0.9026638898068238;0.9024;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac80_s102_20251107_014427.json
phase5_learning_curve;imdb;logreg;103;0.8;18000;2500;25000;20251107_015520;0.8956;0.8955961405651707;0.8956585042821308;0.8956;21.95220529998187;0.894;0.8939938770863405;0.894091050796376;0.8939999999999999;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac80_s103_20251107_015520.json
phase5_learning_curve;imdb;logreg;101;1.0;22500;2500;25000;20251107_013621;0.89836;0.8983576970293563;0.8983961067985176;0.89836;24.8723632999463;0.8936;0.8935803166153612;0.8938914166256764;0.8936;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac100_s101_20251107_013621.json
phase5_learning_curve;imdb;logreg;102;1.0;22500;2500;25000;20251107_014701;0.89752;0.8975177168587032;0.8975554275953526;0.8975200000000001;27.907228099997155;0.9052;0.9051834791694104;0.9054826051564899;0.9052;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac100_s102_20251107_014701.json
