phase;regime;train_dataset;test_dataset;model;seed;train_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;model_cfg_json;class_src_json;class_tgt_json;file
phase4_transfer;size_matched;amazon;imdb;svm;102;22500;25000;20251106_201841;0.86584;0.8656720457827347;0.8676788791435521;0.8658399999999999;14.699881799984723;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\svm_trainamazon_testimdb_size_matched_s102_20251106_201841.json
phase4_transfer;size_matched;amazon;imdb;svm;103;22500;25000;20251106_202019;0.85964;0.8594459136972852;0.8616374910844352;0.85964;14.125135199981742;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\svm_trainamazon_testimdb_size_matched_s103_20251106_202019.json
phase4_transfer;size_matched;enron;sms;logreg;101;2160;1115;20251106_200755;0.8959641255605382;0.7098542765873443;0.8169484395130544;0.6675003821195826;1.3154010999714956;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\logreg_trainenron_testsms_size_matched_s101_20251106_200755.json
phase4_transfer;size_matched;enron;sms;logreg;102;2160;1115;20251106_200802;0.8816143497757848;0.6671641791044776;0.7595717986077384;0.6336758514319063;1.4714301000349224;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\logreg_trainenron_testsms_size_matched_s102_20251106_200802.json
phase4_transfer;size_matched;enron;sms;logreg;103;2160;1115;20251106_200810;0.8807174887892377;0.6836879432624113;0.7488925802879292;0.6530249975683299;1.3983440999872983;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\logreg_trainenron_testsms_size_matched_s103_20251106_200810.json
phase4_transfer;size_matched;enron;sms;nb;101;2160;1115;20251106_200756;0.8878923766816144;0.6454834270656075;0.8326754944402004;0.6089179762946906;1.4174038000637665;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\nb_trainenron_testsms_size_matched_s101_20251106_200756.json
phase4_transfer;size_matched;enron;sms;nb;102;2160;1115;20251106_200804;0.8762331838565023;0.6243921729451052;0.7468020466901183;0.5965129851181792;1.622425000066869;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\nb_trainenron_testsms_size_matched_s102_20251106_200804.json
phase4_transfer;size_matched;enron;sms;nb;103;2160;1115;20251106_200811;0.8699551569506726;0.5963181115652645;0.7131950952827242;0.5758611585865744;1.3493960000341758;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\nb_trainenron_testsms_size_matched_s103_20251106_200811.json
phase4_transfer;size_matched;enron;sms;rf;101;2160;1115;20251106_200759;0.2430493273542601;0.24294641592977306;0.5467876885176951;0.5432802534494977;2.7102135000750422;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\rf_trainenron_testsms_size_matched_s101_20251106_200759.json
phase4_transfer;size_matched;enron;sms;rf;102;2160;1115;20251106_200807;0.30672645739910315;0.2988739128984683;0.49674934633594797;0.4948865452221157;2.983980800025165;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\rf_trainenron_testsms_size_matched_s102_20251106_200807.json
